event_id,customer_id,abandoned_at,cart_value,items_count,device,is_returning_customer,minutes_since_abandon,hour_of_day,session_seconds,reached_payment_page,checkout_errors_logged,payment_attempts_started,true_root_cause,logged_action,logged_recovered,po_do_nothing,po_send_reminder_email,po_send_reminder_whatsapp,po_offer_bounded_discount@5,po_offer_bounded_discount@10
cart_000033,cust_000986,2026-03-31T17:39:00,4889.43,4,mobile,True,180,17,410,False,0,0,comparison_shopping,offer_bounded_discount@10,True,True,True,False,False,True
cart_000034,cust_000992,2026-03-09T05:51:00,11940.87,5,mobile,False,60,5,397,False,0,0,comparison_shopping,offer_bounded_discount@5,False,False,False,False,False,False
cart_000035,cust_001240,2026-03-27T10:45:00,777.96,1,mobile,True,60,10,289,False,0,0,price_sensitivity,send_reminder_whatsapp,True,False,True,True,True,True
cart_000036,cust_000179,2026-05-02T06:22:00,3253.16,4,mobile,True,1440,6,727,True,1,2,technical_friction,do_nothing,False,False,False,True,True,False
cart_000037,cust_000407,2026-04-08T03:01:00,6668.93,5,mobile,True,10,3,668,False,0,0,comparison_shopping,do_nothing,False,False,False,True,False,True
cart_000038,cust_000149,2026-05-11T09:10:00,60272.84,3,desktop,True,720,9,495,False,0,0,high_cart_hesitation,offer_bounded_discount@5,False,True,False,True,False,False
cart_000039,cust_001085,2026-03-09T19:15:00,9265.14,1,mobile,False,10,19,704,True,3,1,technical_friction,offer_bounded_discount@10,True,False,False,True,True,True
cart_000040,cust_000485,2026-02-10T09:41:00,1644.44,4,mobile,False,10,9,187,True,0,0,price_sensitivity,offer_bounded_discount@5,True,False,False,False,True,False
cart_000041,cust_000877,2026-01-30T23:36:00,3506.42,3,desktop,True,10,23,312,True,0,0,comparison_shopping,do_nothing,False,False,False,False,False,False
cart_000042,cust_000266,2026-01-01T22:52:00,594.16,4,mobile,False,60,22,214,False,0,0,price_sensitivity,offer_bounded_discount@5,True,False,True,False,True,True
cart_000043,cust_000140,2026-01-14T00:02:00,3011.44,4,desktop,True,30,0,267,True,0,0,comparison_shopping,offer_bounded_discount@5,True,False,True,True,True,False
cart_000044,cust_000858,2026-05-15T21:57:00,1606.66,3,mobile,True,180,21,422,False,0,0,comparison_shopping,do_nothing,False,False,False,False,False,False
cart_000045,cust_000540,2026-01-25T07:34:00,4745.71,1,mobile,True,60,7,575,False,0,0,comparison_shopping,send_reminder_whatsapp,False,False,False,False,False,False
cart_000046,cust_001444,2026-05-21T21:31:00,26436.76,1,mobile,True,10,21,563,True,1,0,high_cart_hesitation,offer_bounded_discount@10,False,True,True,False,True,False
cart_000047,cust_001460,2026-05-05T14:12:00,3734.76,5,mobile,True,180,14,179,False,0,0,comparison_shopping,send_reminder_whatsapp,True,False,False,True,False,False
cart_000048,cust_000997,2026-01-27T09:12:00,387.56,3,desktop,True,10,9,161,False,0,0,price_sensitivity,offer_bounded_discount@10,True,True,True,True,True,True
cart_000049,cust_000630,2026-05-09T09:06:00,12117.24,3,desktop,True,30,9,671,True,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,True,False,False
cart_000050,cust_001074,2026-01-09T02:18:00,4502.35,3,desktop,False,180,2,692,True,1,1,technical_friction,do_nothing,False,False,True,False,True,True
cart_000051,cust_000943,2026-02-09T06:11:00,8209.12,1,mobile,True,60,6,707,True,0,1,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,False,False
cart_000052,cust_001047,2026-05-17T19:37:00,6829.75,2,desktop,True,1440,19,593,True,1,1,technical_friction,send_reminder_email,False,False,False,True,True,True
cart_000053,cust_000184,2026-04-18T14:43:00,2325.14,1,mobile,True,10,14,324,True,2,1,technical_friction,send_reminder_whatsapp,True,False,True,True,True,True
cart_000054,cust_000137,2026-06-26T13:13:00,2305.88,4,mobile,True,60,13,73,False,0,0,comparison_shopping,send_reminder_email,False,False,False,False,False,False
cart_000055,cust_001171,2026-03-27T13:09:00,389.43,1,mobile,False,30,13,309,True,0,0,price_sensitivity,offer_bounded_discount@5,False,False,False,False,False,False
cart_000056,cust_001007,2026-03-17T12:20:00,19120.61,1,mobile,True,180,12,979,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,False,False
cart_000057,cust_001280,2026-03-18T07:45:00,1382.45,2,mobile,True,720,7,293,False,0,0,comparison_shopping,send_reminder_whatsapp,True,True,True,True,False,False
cart_000058,cust_001464,2026-02-11T10:27:00,38878.13,1,tablet,True,60,10,692,False,1,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,True,False,False
cart_000059,cust_001037,2026-06-05T20:02:00,1548.23,2,mobile,True,60,20,825,False,0,0,comparison_shopping,send_reminder_email,False,False,False,True,True,False
cart_000060,cust_001103,2026-06-16T13:05:00,36832.08,1,mobile,True,10,13,321,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,True,False,True,False
cart_000061,cust_001381,2026-02-20T22:48:00,584.04,1,mobile,True,60,22,343,True,0,0,price_sensitivity,send_reminder_whatsapp,False,False,False,False,False,False
cart_000062,cust_001181,2026-01-25T02:29:00,2064.05,4,mobile,True,720,2,230,True,0,0,price_sensitivity,send_reminder_whatsapp,True,False,False,True,False,True
cart_000063,cust_000076,2026-02-03T21:31:00,14161.43,3,mobile,True,60,21,193,True,1,1,technical_friction,do_nothing,True,True,True,True,True,True
cart_000064,cust_000015,2026-06-16T03:19:00,10943.62,3,mobile,False,10,3,567,True,1,0,high_cart_hesitation,send_reminder_whatsapp,True,False,False,True,False,False
cart_000065,cust_001114,2026-05-10T00:37:00,2335.2,3,mobile,True,180,0,1161,True,0,0,comparison_shopping,send_reminder_whatsapp,False,True,True,False,True,True
cart_000066,cust_001408,2026-06-16T05:22:00,1313.7,3,mobile,True,180,5,186,False,0,0,price_sensitivity,offer_bounded_discount@10,False,False,True,False,False,False
cart_000067,cust_000464,2026-04-10T03:11:00,2679.08,2,tablet,False,60,3,339,True,3,2,technical_friction,do_nothing,True,True,False,True,False,False
cart_000068,cust_000280,2026-01-10T17:03:00,4071.4,6,mobile,True,10,17,567,True,0,0,comparison_shopping,offer_bounded_discount@10,True,True,True,True,True,True
cart_000069,cust_000244,2026-01-05T17:51:00,11464.0,1,tablet,True,30,17,261,True,0,0,high_cart_hesitation,send_reminder_whatsapp,False,True,False,False,True,True
cart_000070,cust_001352,2026-06-22T21:27:00,3674.32,6,mobile,False,720,21,426,True,0,2,technical_friction,offer_bounded_discount@10,True,False,True,False,False,True
cart_000071,cust_000182,2026-05-28T14:24:00,6363.2,2,mobile,True,180,14,508,True,1,2,technical_friction,send_reminder_whatsapp,True,True,True,True,True,True
cart_000072,cust_000735,2026-05-20T17:48:00,596.03,3,desktop,True,10,17,156,False,0,0,price_sensitivity,offer_bounded_discount@10,False,False,False,False,False,False
cart_000073,cust_001302,2026-01-30T19:18:00,1370.56,2,desktop,True,10,19,585,False,0,0,comparison_shopping,offer_bounded_discount@5,False,False,False,True,False,False
cart_000074,cust_001144,2026-03-28T09:54:00,11303.67,1,desktop,True,180,9,613,True,0,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,False,False
cart_000075,cust_001005,2026-04-23T12:08:00,5992.69,2,mobile,False,1440,12,257,False,1,0,price_sensitivity,send_reminder_whatsapp,True,False,False,True,False,False
cart_000076,cust_001227,2026-03-05T11:46:00,1599.46,5,mobile,True,720,11,324,True,1,0,technical_friction,send_reminder_email,True,True,True,False,True,False
cart_000077,cust_000536,2026-06-20T04:37:00,9245.35,1,desktop,True,60,4,480,False,0,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,False,False
cart_000078,cust_000762,2026-05-07T03:37:00,21770.53,2,desktop,True,30,3,191,False,0,0,high_cart_hesitation,do_nothing,False,False,False,True,False,False
cart_000079,cust_000327,2026-06-22T16:20:00,1567.04,1,mobile,True,180,16,224,False,0,0,price_sensitivity,send_reminder_whatsapp,False,False,False,False,False,True
cart_000080,cust_000465,2026-06-07T10:13:00,670.5,4,mobile,True,30,10,242,False,0,0,price_sensitivity,offer_bounded_discount@5,True,False,False,False,True,True
cart_000081,cust_000849,2026-05-11T18:52:00,10050.83,2,mobile,True,10,18,239,False,0,0,comparison_shopping,send_reminder_email,True,False,True,True,True,True
cart_000082,cust_000161,2026-04-14T19:14:00,5818.23,1,mobile,False,720,19,537,True,2,1,technical_friction,offer_bounded_discount@10,False,False,False,True,False,False
cart_000083,cust_001427,2026-02-01T06:56:00,2931.19,4,mobile,False,30,6,411,False,1,0,comparison_shopping,offer_bounded_discount@5,False,True,False,False,False,True
cart_000084,cust_001043,2026-06-08T17:44:00,3698.28,2,mobile,True,180,17,582,False,0,0,high_cart_hesitation,offer_bounded_discount@5,True,False,False,True,True,True
cart_000085,cust_000074,2026-05-21T08:20:00,1948.58,2,mobile,True,720,8,294,True,0,0,comparison_shopping,send_reminder_email,True,False,True,True,False,False
cart_000086,cust_000514,2026-01-07T03:15:00,676.62,3,desktop,True,180,3,234,False,0,0,price_sensitivity,offer_bounded_discount@5,True,False,False,False,True,False
cart_000087,cust_000174,2026-02-13T02:50:00,1285.49,1,desktop,True,60,2,516,False,3,1,technical_friction,offer_bounded_discount@10,False,False,True,False,False,False
cart_000088,cust_000955,2026-04-15T03:08:00,14183.15,1,mobile,False,180,3,727,True,2,2,technical_friction,offer_bounded_discount@10,True,False,True,True,True,True
cart_000089,cust_000317,2026-03-06T11:05:00,1795.67,1,mobile,True,720,11,753,False,0,0,comparison_shopping,offer_bounded_discount@5,True,False,True,False,True,False
cart_000090,cust_000997,2026-07-13T19:38:00,2869.13,4,mobile,True,10,19,344,False,0,0,price_sensitivity,send_reminder_email,False,False,False,False,True,True
cart_000091,cust_000371,2026-04-01T03:11:00,6394.88,5,mobile,True,1440,3,305,False,0,0,comparison_shopping,do_nothing,False,False,False,False,False,True
cart_000092,cust_000142,2026-01-14T16:11:00,1205.79,1,desktop,True,1440,16,91,False,0,0,price_sensitivity,offer_bounded_discount@5,True,False,False,True,True,True
cart_000093,cust_000393,2026-06-01T03:52:00,12484.36,3,desktop,True,720,3,417,True,3,2,technical_friction,offer_bounded_discount@5,False,False,False,False,False,False
cart_000094,cust_000920,2026-06-14T00:17:00,2065.26,3,mobile,False,30,0,147,False,0,0,price_sensitivity,send_reminder_whatsapp,False,False,False,False,True,True
cart_000095,cust_000892,2026-01-08T17:14:00,3614.09,4,desktop,False,10,17,419,True,2,1,technical_friction,send_reminder_whatsapp,True,True,True,True,True,True
cart_000096,cust_000364,2026-07-15T15:54:00,465.12,1,desktop,True,60,15,102,False,0,0,price_sensitivity,send_reminder_email,True,False,True,False,False,False
cart_000097,cust_000087,2026-06-20T11:24:00,1101.13,5,mobile,True,720,11,209,False,0,0,price_sensitivity,do_nothing,False,False,False,False,False,True
cart_000098,cust_001290,2026-06-24T04:49:00,1489.34,7,mobile,True,60,4,181,False,0,0,price_sensitivity,send_reminder_whatsapp,True,False,False,True,True,True
cart_000099,cust_000194,2026-06-08T01:04:00,10218.01,2,mobile,True,60,1,874,False,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,False,False,False
cart_000100,cust_001493,2026-07-20T10:07:00,772.06,6,mobile,False,10,10,206,False,0,0,price_sensitivity,offer_bounded_discount@10,False,False,False,False,True,False
cart_000101,cust_000369,2026-02-04T21:13:00,4290.76,3,desktop,True,1440,21,723,False,1,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,False,False
cart_000102,cust_000392,2026-07-04T16:54:00,4624.5,1,tablet,True,180,16,336,True,0,0,price_sensitivity,send_reminder_email,False,False,False,False,False,False
cart_000103,cust_000161,2026-05-31T21:13:00,7729.52,1,mobile,True,720,21,650,False,0,0,high_cart_hesitation,do_nothing,False,False,False,False,False,False
cart_000104,cust_000173,2026-05-20T12:33:00,4115.7,2,mobile,True,10,12,408,True,0,0,technical_friction,send_reminder_email,True,False,True,True,True,True
cart_000105,cust_000693,2026-05-22T08:18:00,3985.63,2,mobile,True,180,8,497,False,0,0,comparison_shopping,offer_bounded_discount@10,True,True,True,False,False,True
cart_000106,cust_000173,2026-07-03T20:19:00,3928.6,2,mobile,True,10,20,214,True,1,0,price_sensitivity,send_reminder_whatsapp,True,False,False,True,True,True
cart_000107,cust_001291,2026-07-04T18:01:00,7217.26,2,mobile,False,30,18,589,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,False,False
cart_000108,cust_001311,2026-03-14T21:40:00,21653.28,3,mobile,True,1440,21,841,True,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,False,False,False
cart_000109,cust_001234,2026-04-12T22:25:00,22909.19,2,mobile,False,60,22,738,True,0,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,False,False
cart_000110,cust_000310,2026-04-06T22:12:00,7398.71,3,desktop,True,10,22,275,True,0,0,price_sensitivity,offer_bounded_discount@10,True,False,True,True,True,True
cart_000111,cust_001220,2026-03-20T04:43:00,853.24,6,desktop,True,180,4,182,True,0,0,price_sensitivity,offer_bounded_discount@5,False,False,False,False,False,False
cart_000112,cust_001104,2026-01-28T03:51:00,3524.46,3,mobile,True,1440,3,20,True,2,1,technical_friction,offer_bounded_discount@10,True,False,False,True,False,True
cart_000113,cust_000908,2026-05-16T09:27:00,12168.91,1,mobile,True,10,9,1249,True,0,1,high_cart_hesitation,offer_bounded_discount@5,False,False,False,False,False,False
cart_000114,cust_000917,2026-02-12T03:43:00,10524.13,2,desktop,True,180,3,960,True,0,0,high_cart_hesitation,offer_bounded_discount@10,False,True,False,True,True,False
cart_000115,cust_000155,2026-02-18T09:07:00,3037.23,1,desktop,True,30,9,759,True,0,0,high_cart_hesitation,offer_bounded_discount@10,True,True,False,True,True,True
cart_000116,cust_000539,2026-02-27T12:52:00,9357.66,3,mobile,False,180,12,136,False,0,0,high_cart_hesitation,send_reminder_email,False,False,False,False,False,False
cart_000117,cust_001046,2026-03-31T07:25:00,3519.92,1,desktop,True,180,7,677,True,3,2,technical_friction,do_nothing,False,False,False,False,False,False
cart_000118,cust_000977,2026-07-12T10:46:00,1349.11,2,mobile,True,180,10,642,False,0,0,comparison_shopping,do_nothing,False,False,False,False,False,False
cart_000119,cust_000723,2026-04-25T22:38:00,440.65,3,desktop,True,60,22,908,False,0,0,comparison_shopping,send_reminder_whatsapp,False,False,True,False,True,False
cart_000120,cust_000082,2026-02-04T22:00:00,1138.4,3,mobile,True,1440,22,469,True,3,1,technical_friction,offer_bounded_discount@5,True,False,True,True,True,True
cart_000121,cust_001251,2026-02-06T15:29:00,9534.83,1,desktop,True,30,15,592,True,1,1,technical_friction,send_reminder_email,False,False,False,True,True,True
cart_000122,cust_000343,2026-06-23T18:40:00,15181.28,1,mobile,True,180,18,653,True,0,0,high_cart_hesitation,offer_bounded_discount@5,True,True,False,False,True,False
cart_000123,cust_001289,2026-04-25T14:23:00,12712.22,1,desktop,True,180,14,699,False,0,0,high_cart_hesitation,do_nothing,False,False,False,False,False,False
cart_000124,cust_000336,2026-05-06T11:09:00,14924.37,1,mobile,False,60,11,217,True,0,0,high_cart_hesitation,do_nothing,False,False,False,False,False,False
cart_000125,cust_000109,2026-06-18T03:39:00,905.88,1,mobile,True,720,3,188,True,0,0,price_sensitivity,offer_bounded_discount@10,True,False,False,False,False,True
cart_000126,cust_000745,2026-02-06T13:15:00,2977.33,1,mobile,True,30,13,120,False,0,2,technical_friction,offer_bounded_discount@5,True,False,True,True,True,True
cart_000127,cust_000556,2026-02-11T21:50:00,3762.11,4,desktop,True,30,21,294,False,0,0,comparison_shopping,do_nothing,False,False,False,True,False,False
cart_000128,cust_000735,2026-04-30T07:00:00,11470.13,1,mobile,True,1440,7,744,False,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,False,False,False
cart_000129,cust_001102,2026-06-09T14:17:00,7759.19,2,mobile,False,180,14,493,True,0,0,high_cart_hesitation,offer_bounded_discount@10,False,False,False,False,True,False
cart_000130,cust_000935,2026-07-14T17:31:00,3765.26,1,desktop,False,60,17,524,True,0,0,comparison_shopping,offer_bounded_discount@10,False,False,False,False,False,False
cart_000131,cust_001172,2026-04-14T03:07:00,833.59,2,desktop,True,60,3,138,False,0,0,price_sensitivity,send_reminder_whatsapp,False,True,True,False,True,True
cart_000132,cust_000096,2026-06-26T20:33:00,8062.43,1,mobile,True,180,20,398,True,1,1,technical_friction,do_nothing,False,False,True,True,True,False
cart_000133,cust_001401,2026-01-21T23:24:00,1447.95,2,desktop,False,10,23,264,False,0,0,price_sensitivity,do_nothing,False,False,False,True,True,True
cart_000134,cust_000126,2026-02-17T02:27:00,12059.81,1,desktop,False,720,2,741,False,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,False,False,False
cart_000135,cust_000016,2026-03-22T21:44:00,13179.91,1,desktop,True,60,21,818,True,0,1,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,False,True
cart_000136,cust_001474,2026-02-10T14:59:00,14715.99,3,mobile,False,180,14,781,True,0,0,high_cart_hesitation,do_nothing,False,False,False,False,False,True
cart_000137,cust_000796,2026-06-08T14:41:00,4595.24,2,mobile,True,60,14,573,True,1,1,technical_friction,do_nothing,True,True,True,True,True,True
cart_000138,cust_000769,2026-01-27T11:22:00,2327.24,1,desktop,True,720,11,588,False,0,0,comparison_shopping,send_reminder_email,False,False,False,False,False,False
cart_000139,cust_000783,2026-04-09T07:29:00,23152.74,3,mobile,True,60,7,938,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,False,False
cart_000140,cust_000465,2026-05-02T03:55:00,757.44,3,mobile,True,30,3,166,True,0,0,price_sensitivity,send_reminder_email,False,False,False,False,False,True
cart_000141,cust_000437,2026-05-14T08:01:00,3287.93,3,desktop,False,60,8,73,True,0,0,price_sensitivity,do_nothing,False,False,True,False,True,False
cart_000142,cust_000479,2026-02-26T00:31:00,5434.01,5,mobile,False,180,0,717,False,0,0,comparison_shopping,send_reminder_email,False,False,False,False,False,False
cart_000143,cust_000024,2026-05-07T08:17:00,853.4,3,desktop,True,60,8,203,False,0,0,price_sensitivity,do_nothing,False,False,False,False,False,True
cart_000144,cust_000066,2026-03-02T15:15:00,6036.46,2,mobile,False,10,15,290,False,0,0,comparison_shopping,do_nothing,True,True,True,True,False,True
cart_000145,cust_000890,2026-05-05T09:47:00,27295.03,1,mobile,True,60,9,699,False,0,0,high_cart_hesitation,send_reminder_whatsapp,False,False,True,False,False,False
cart_000146,cust_000100,2026-04-17T00:25:00,3546.8,5,mobile,True,10,0,208,False,0,0,comparison_shopping,send_reminder_email,False,False,False,False,False,True
cart_000147,cust_001183,2026-03-05T11:25:00,598.98,5,tablet,False,60,11,32,True,0,0,price_sensitivity,do_nothing,False,False,False,False,False,True
cart_000148,cust_000226,2026-03-16T02:49:00,18814.05,2,mobile,True,180,2,40,True,0,0,high_cart_hesitation,offer_bounded_discount@5,False,False,False,False,False,False
cart_000149,cust_000891,2026-02-13T09:04:00,5139.66,1,mobile,True,10,9,295,True,2,2,technical_friction,send_reminder_email,True,False,True,True,True,False
cart_000150,cust_001120,2026-01-13T04:20:00,3798.79,3,mobile,False,720,4,563,True,3,0,technical_friction,send_reminder_whatsapp,True,True,True,True,True,True
cart_000151,cust_000157,2026-02-25T12:39:00,9974.47,4,mobile,True,180,12,773,False,0,0,comparison_shopping,send_reminder_email,False,False,False,False,False,False
cart_000152,cust_000573,2026-01-05T18:17:00,9104.57,6,desktop,True,30,18,195,True,0,0,comparison_shopping,offer_bounded_discount@5,False,False,True,True,False,True
cart_000153,cust_001008,2026-02-23T01:25:00,5911.95,1,mobile,True,180,1,434,True,1,0,high_cart_hesitation,do_nothing,True,True,False,False,False,False
cart_000154,cust_000097,2026-01-11T06:55:00,1862.0,1,tablet,True,10,6,489,True,0,2,technical_friction,offer_bounded_discount@10,True,True,True,True,True,True
cart_000155,cust_000568,2026-07-06T02:29:00,12940.51,1,desktop,False,180,2,368,False,0,0,high_cart_hesitation,do_nothing,False,False,False,False,False,False
cart_000156,cust_000689,2026-05-28T06:55:00,15255.74,3,mobile,False,60,6,349,True,2,0,technical_friction,send_reminder_email,True,False,True,False,True,True
cart_000157,cust_000898,2026-02-04T12:13:00,3272.65,2,mobile,True,180,12,199,True,0,0,price_sensitivity,offer_bounded_discount@5,True,True,False,False,True,True
cart_000158,cust_001288,2026-02-25T10:40:00,1684.1,3,mobile,True,1440,10,193,False,0,0,price_sensitivity,do_nothing,False,False,True,True,True,True
cart_000159,cust_000051,2026-02-16T02:33:00,1075.57,5,desktop,True,10,2,47,False,1,0,price_sensitivity,send_reminder_whatsapp,True,True,False,True,True,True
cart_000160,cust_001371,2026-02-26T10:19:00,7130.84,3,mobile,True,180,10,419,False,0,0,comparison_shopping,do_nothing,False,False,False,False,False,False
cart_000161,cust_000462,2026-03-24T12:06:00,2279.41,1,desktop,True,180,12,406,True,1,2,technical_friction,offer_bounded_discount@5,True,False,True,True,True,False
cart_000162,cust_000911,2026-02-17T16:51:00,3478.94,5,desktop,False,30,16,303,False,0,0,comparison_shopping,do_nothing,False,False,True,True,True,True
cart_000163,cust_000034,2026-04-04T22:31:00,4433.5,1,mobile,True,720,22,788,False,0,0,comparison_shopping,offer_bounded_discount@10,False,False,False,False,False,False
cart_000164,cust_000604,2026-04-11T22:23:00,1020.29,3,mobile,False,60,22,291,True,0,0,price_sensitivity,offer_bounded_discount@5,False,True,False,False,False,False
cart_000165,cust_000216,2026-04-06T06:54:00,1904.69,2,desktop,True,1440,6,41,False,0,0,price_sensitivity,send_reminder_whatsapp,False,False,False,False,False,False
cart_000166,cust_000723,2026-06-26T10:19:00,906.67,2,tablet,False,1440,10,145,False,0,0,price_sensitivity,do_nothing,False,False,False,False,False,True
cart_000167,cust_000880,2026-02-23T14:04:00,8481.88,2,mobile,False,180,14,733,True,0,1,high_cart_hesitation,send_reminder_whatsapp,False,False,False,False,True,True
cart_000168,cust_001445,2026-04-23T18:40:00,330.36,1,mobile,True,60,18,213,False,0,0,comparison_shopping,send_reminder_whatsapp,False,False,False,False,True,False
cart_000169,cust_000823,2026-02-28T03:17:00,2871.13,4,mobile,True,180,3,294,True,0,0,price_sensitivity,offer_bounded_discount@10,False,True,True,False,False,False
