customer_id,segment,tenure_months,prior_successful_payments,prior_late_payments,estimated_annual_value_inr,gross_margin_pct,repeat_purchase_probability,prior_coupon_redemptions,contacts_last_7d,hours_since_last_contact,email_consent,whatsapp_consent,sms_consent,dnd_flagged
cust_000163,consumer,32,28,1,16617.74,28.7,0.276,1,0,1278.7,True,True,True,False
cust_000164,smb,33,24,2,237344.96,25.4,0.193,0,0,1379.1,True,True,True,False
cust_000165,consumer,38,34,2,24858.42,40.4,0.249,0,1,64.4,True,False,False,False
cust_000166,consumer,38,32,2,5876.92,36.7,0.161,6,0,2145.9,True,False,True,False
cust_000167,smb,52,51,4,158705.9,40.6,0.499,0,1,5.5,True,False,True,False
cust_000168,smb,10,4,1,331206.92,37.9,0.12,1,1,132.8,True,False,True,False
cust_000169,consumer,44,32,4,17022.88,29.0,0.181,2,0,2760.3,True,True,False,False
cust_000170,consumer,36,23,3,39352.52,46.3,0.287,0,0,1629.9,True,False,False,False
cust_000171,consumer,43,33,2,23749.3,41.5,0.277,0,0,2892.8,True,False,True,False
cust_000172,consumer,13,15,1,21084.04,37.4,0.143,0,1,4.8,True,True,False,False
cust_000173,smb,68,54,1,86292.23,25.2,0.318,0,0,716.5,True,True,True,False
cust_000174,consumer,37,30,3,17467.34,28.1,0.167,1,1,90.7,True,True,True,False
cust_000175,consumer,40,25,1,12879.46,38.5,0.305,0,0,683.1,True,False,False,False
cust_000176,consumer,20,18,2,5155.54,36.2,0.087,0,0,720.1,True,False,False,False
cust_000177,consumer,31,24,2,11908.97,33.1,0.121,3,2,81.9,True,True,False,False
cust_000178,consumer,31,23,1,16917.4,50.7,0.377,0,0,1705.3,True,False,False,False
cust_000179,consumer,7,6,0,23122.21,35.2,0.112,1,1,127.9,True,True,False,False
cust_000180,consumer,15,8,1,12259.5,55.0,0.215,6,1,40.6,True,False,False,False
cust_000181,consumer,10,4,1,24837.97,49.2,0.027,1,0,1871.2,True,False,True,False
cust_000182,enterprise,137,118,9,5917283.32,24.9,0.468,6,2,22.2,True,True,False,False
cust_000183,smb,52,32,2,205994.32,33.5,0.38,0,1,148.0,True,True,True,False
cust_000184,consumer,31,25,0,13427.93,28.1,0.263,1,0,377.3,True,True,False,False
cust_000185,consumer,18,10,0,13841.33,43.6,0.185,0,1,9.1,True,False,False,False
cust_000186,smb,58,34,5,193476.89,41.8,0.371,0,2,147.4,True,True,True,False
cust_000187,consumer,3,0,0,16155.49,36.2,0.106,1,1,1.2,True,True,True,False
cust_000188,consumer,44,39,1,14071.18,31.3,0.239,0,1,18.2,True,True,False,False
cust_000189,smb,84,67,4,397317.26,24.9,0.364,1,0,2222.8,True,True,True,False
cust_000190,smb,13,15,2,360705.32,24.8,0.092,2,0,2004.9,True,True,False,False
cust_000191,enterprise,12,13,0,5132985.0,24.5,0.29,1,1,50.4,True,False,False,False
cust_000192,consumer,31,25,1,25704.25,29.9,0.199,0,1,71.3,True,True,False,False
cust_000193,consumer,37,32,2,3167.54,35.1,0.245,2,0,1960.0,True,False,False,False
cust_000194,consumer,39,39,3,6530.88,30.3,0.262,0,0,2337.0,True,False,True,False
cust_000195,enterprise,67,53,2,630063.88,15.4,0.393,1,0,2276.7,True,True,False,False
cust_000196,consumer,22,17,0,21158.71,49.1,0.335,0,2,129.8,True,False,True,False
cust_000197,smb,75,64,4,258462.48,31.9,0.328,2,0,640.5,True,False,False,False
cust_000198,smb,2,1,1,36734.4,39.3,0.094,3,1,93.3,True,False,True,False
cust_000199,consumer,46,38,2,13137.44,50.3,0.256,1,0,824.9,True,True,False,False
cust_000200,smb,41,35,2,144374.35,33.1,0.191,1,0,1856.7,True,False,True,False
cust_000201,smb,33,25,3,77215.22,40.6,0.207,1,1,2.6,True,False,True,False
cust_000202,consumer,13,8,0,21427.67,34.4,0.328,0,2,150.8,True,False,False,False
cust_000203,consumer,6,4,0,20464.4,45.2,0.24,0,1,22.8,True,False,False,False
cust_000204,smb,43,36,2,140861.93,27.4,0.282,0,0,1505.0,True,True,False,False
cust_000205,consumer,16,7,1,34173.05,30.4,0.12,1,0,802.1,True,True,False,False
cust_000206,consumer,3,3,0,27248.74,35.0,0.09,2,0,1493.7,True,True,True,False
cust_000207,enterprise,39,33,1,1429358.3,20.4,0.102,0,0,2768.8,True,False,True,False
cust_000208,smb,13,9,1,363929.63,38.6,0.125,1,1,67.0,True,False,True,False
cust_000209,consumer,17,14,0,18117.45,32.0,0.145,1,0,2671.8,True,True,False,False
cust_000210,consumer,33,25,1,10341.34,54.8,0.158,0,1,58.5,True,True,True,True
cust_000211,consumer,1,5,3,35882.71,49.0,0.153,1,1,167.9,False,True,False,False
cust_000212,smb,9,0,0,310338.9,41.0,0.043,6,0,862.3,True,False,True,False
cust_000213,smb,47,43,2,380072.32,33.3,0.258,6,2,83.2,True,True,True,False
cust_000214,consumer,33,20,0,19380.57,37.0,0.255,2,2,10.9,True,False,True,False
cust_000215,consumer,23,20,2,38442.07,38.1,0.153,0,0,582.1,True,False,False,False
cust_000216,consumer,11,13,0,28433.73,43.2,0.12,2,0,2255.2,True,True,True,False
cust_000217,consumer,36,33,4,1779.12,44.3,0.074,0,0,2822.7,True,False,True,False
cust_000218,consumer,5,3,0,32955.64,46.1,0.225,1,0,2403.7,True,True,False,False
cust_000219,consumer,26,20,1,19976.74,38.2,0.213,0,2,109.7,True,True,True,False
cust_000220,consumer,20,11,3,10814.54,30.8,0.157,3,3,57.4,False,False,False,False
cust_000221,consumer,38,31,2,35645.25,32.2,0.274,0,1,121.6,True,True,True,False
cust_000222,consumer,36,29,2,22211.67,41.3,0.361,1,0,471.6,True,False,False,False
cust_000223,consumer,25,23,1,19102.31,52.2,0.334,0,0,1268.0,True,True,False,False
cust_000224,smb,74,58,3,43422.96,37.0,0.3,6,0,1750.1,True,False,True,False
cust_000225,smb,62,53,3,237631.43,26.7,0.384,2,0,1799.4,True,True,False,False
cust_000226,enterprise,120,103,6,1285410.14,29.7,0.509,6,0,2992.4,True,False,True,False
cust_000227,smb,10,10,0,53070.43,33.1,0.139,1,2,3.1,True,True,False,False
cust_000228,consumer,36,37,1,23723.4,48.5,0.23,0,0,1162.8,True,True,False,False
cust_000229,consumer,17,12,0,16417.47,44.7,0.144,0,2,116.3,True,False,True,False
cust_000230,consumer,19,19,0,12782.5,50.8,0.283,0,1,130.3,True,False,False,False
cust_000231,consumer,26,20,3,29767.32,48.5,0.054,1,0,1071.1,True,True,False,False
cust_000232,consumer,12,10,0,35069.63,33.4,0.27,0,0,1499.8,True,False,False,False
cust_000233,consumer,28,23,0,7514.56,51.5,0.223,0,2,126.1,True,True,False,False
cust_000234,consumer,13,9,0,34355.89,45.5,0.188,2,1,2.5,False,False,False,True
cust_000235,consumer,19,15,0,28653.25,47.2,0.394,2,0,811.0,True,False,False,False
cust_000236,consumer,42,28,1,38676.18,50.7,0.263,0,0,974.2,True,True,False,False
cust_000237,consumer,12,15,2,6422.21,48.7,0.053,2,0,2049.5,True,False,False,False
cust_000238,consumer,26,9,0,16481.66,47.9,0.284,1,1,107.6,True,False,False,False
cust_000239,consumer,42,30,3,35121.54,32.9,0.252,0,1,128.4,True,False,False,False
cust_000240,consumer,47,40,2,34921.57,39.4,0.201,0,0,1976.3,True,False,False,False
cust_000241,consumer,43,32,4,15575.93,36.1,0.254,0,0,1345.7,True,False,False,False
cust_000242,smb,12,12,2,205280.72,34.6,0.202,2,0,2340.6,True,False,True,False
cust_000243,consumer,25,20,2,17446.51,40.9,0.193,2,2,150.0,True,False,True,True
cust_000244,smb,30,26,2,283539.4,28.9,0.169,2,0,1014.3,True,True,True,False
cust_000245,enterprise,93,73,5,5977991.81,21.8,0.324,3,1,4.2,True,False,True,True
cust_000246,consumer,7,13,0,14980.36,45.6,0.174,0,3,111.5,True,True,False,False
cust_000247,consumer,35,32,2,10483.16,47.0,0.347,0,0,482.7,True,False,False,False
cust_000248,smb,67,55,4,293131.17,24.4,0.315,0,0,764.7,True,True,True,False
cust_000249,consumer,30,26,0,13558.84,28.1,0.116,2,1,25.9,True,False,False,False
cust_000250,consumer,14,11,1,18541.67,54.4,0.239,2,0,2094.9,True,True,False,False
cust_000251,consumer,8,0,0,26702.52,32.6,0.249,1,2,16.5,True,True,False,False
cust_000252,consumer,24,11,2,27751.15,40.9,0.207,2,3,142.0,True,False,False,False
cust_000253,consumer,39,33,4,15500.16,37.7,0.208,2,3,22.8,False,True,False,True
cust_000254,consumer,20,9,0,988.23,51.4,0.221,6,2,87.7,True,False,False,False
cust_000255,consumer,42,30,3,27213.67,38.4,0.141,6,0,2001.5,True,False,False,False
cust_000256,consumer,31,23,3,13165.04,36.9,0.11,2,0,1443.7,True,True,False,False
cust_000257,enterprise,10,6,0,885066.93,20.6,0.189,0,0,1933.4,True,True,True,False
cust_000258,enterprise,99,81,5,5004272.65,27.1,0.408,1,0,1467.1,True,False,True,False
cust_000259,consumer,18,9,3,22133.78,38.1,0.238,0,1,125.0,True,True,True,False
cust_000260,smb,29,22,1,193677.48,37.6,0.079,2,0,2362.0,True,False,False,False
cust_000261,consumer,33,31,0,29580.45,42.9,0.325,3,1,153.0,True,True,False,False
cust_000262,consumer,38,22,4,35366.49,41.6,0.299,0,3,163.1,True,True,False,False
cust_000263,smb,40,28,1,340368.28,33.0,0.4,1,0,787.2,True,False,False,False
cust_000264,smb,24,18,1,211479.51,35.9,0.161,1,1,70.7,True,False,True,False
cust_000265,smb,68,58,4,60458.78,29.6,0.311,0,1,165.2,True,True,True,False
cust_000266,consumer,34,33,3,1776.1,50.0,0.185,2,0,865.3,True,False,True,False
cust_000267,smb,51,32,1,178295.17,37.8,0.133,0,1,34.9,True,False,True,False
cust_000268,consumer,45,30,2,26081.48,48.4,0.304,0,0,2111.4,True,True,False,False
cust_000269,consumer,35,17,2,10937.46,32.3,0.223,0,2,7.7,False,False,False,False
cust_000270,smb,40,27,4,206409.36,33.5,0.167,0,0,1614.4,True,True,True,False
cust_000271,consumer,21,19,2,13577.13,35.9,0.14,0,0,2306.0,True,True,False,False
cust_000272,consumer,39,34,1,10131.17,29.1,0.287,0,1,5.1,True,False,False,False
cust_000273,consumer,18,12,0,35982.12,33.2,0.205,0,2,90.8,True,True,False,False
cust_000274,smb,56,48,1,337552.73,26.1,0.339,2,0,2120.9,True,False,True,False
cust_000275,consumer,16,8,1,22544.33,43.5,0.245,0,1,73.3,True,False,False,False
cust_000276,consumer,48,40,1,29965.07,29.2,0.246,1,0,988.2,False,True,False,True
cust_000277,consumer,14,11,1,5887.07,38.6,0.08,6,0,2096.4,False,False,False,False
cust_000278,enterprise,42,29,1,1002440.41,14.1,0.352,2,2,58.4,True,False,False,False
cust_000279,consumer,16,11,1,8175.89,32.9,0.035,2,2,167.1,True,False,True,False
cust_000280,consumer,46,33,4,23433.53,53.7,0.22,0,0,1560.4,True,False,False,False
cust_000281,consumer,20,19,0,38367.03,32.6,0.359,1,1,47.2,True,False,False,False
cust_000282,consumer,19,14,0,19735.37,30.9,0.197,3,0,2253.9,True,False,False,False
cust_000283,consumer,37,36,2,23366.58,48.8,0.259,0,2,91.1,True,True,False,False
cust_000284,consumer,18,17,1,5788.31,41.5,0.251,6,3,115.3,True,True,True,False
cust_000285,consumer,9,7,0,29568.83,41.1,0.23,0,0,1234.4,True,True,False,False
cust_000286,consumer,29,22,1,35321.3,29.1,0.347,0,1,97.6,True,True,False,False
cust_000287,smb,11,7,1,216331.9,29.5,0.111,0,2,82.3,True,True,False,False
cust_000288,consumer,4,4,0,20824.38,35.6,0.048,1,0,1124.6,True,False,False,False
cust_000289,consumer,26,16,0,1386.62,29.2,0.233,1,0,1802.4,True,True,True,False
cust_000290,consumer,36,27,0,25686.1,51.7,0.347,1,0,1548.7,True,False,True,False
cust_000291,smb,81,63,4,270666.53,27.3,0.282,0,0,843.5,True,True,True,False
cust_000292,consumer,26,24,3,33147.31,44.3,0.031,1,1,16.6,True,False,False,True
cust_000293,smb,57,40,4,218376.81,29.4,0.284,0,1,132.9,True,True,False,False
cust_000294,consumer,6,5,0,17306.83,34.9,0.267,1,0,215.3,True,True,False,False
cust_000295,consumer,13,13,0,27666.79,36.5,0.237,1,0,2593.9,True,True,True,False
cust_000296,smb,54,45,4,229799.88,33.2,0.02,1,1,67.5,True,False,True,False
cust_000297,smb,22,18,1,58105.87,32.2,0.068,1,1,9.7,True,False,False,False
cust_000298,consumer,38,30,2,17697.41,29.7,0.319,6,0,1658.8,True,False,False,False
cust_000299,consumer,28,23,2,923.06,51.0,0.161,0,1,86.3,True,False,False,False
cust_000300,consumer,10,3,1,3930.29,35.5,0.116,0,1,154.5,True,False,False,False
cust_000301,consumer,17,15,0,9438.67,54.0,0.241,0,0,1617.5,True,False,False,False
cust_000302,consumer,16,7,0,35106.47,50.0,0.315,2,1,161.5,True,False,False,True
cust_000303,consumer,4,2,0,15615.59,49.3,0.288,2,0,1188.7,True,False,True,False
